turns,victory_status,winner,white_rating,black_rating,opening_name,opening_ply,increment_code
13,outoftime,white,1500,1191,Slav Defense: Exchange Variation,5,15+2
16,resign,black,1322,1261,Nimzowitsch Defense: Kennedy Variation,4,5+10
61,mate,white,1496,1500,King's Pawn Game: Leonardis Variation,3,5+10
61,mate,white,1439,1454,Queen's Pawn Game: Zukertort Variation,3,20+0
95,mate,white,1523,1469,Philidor Defense,5,30+3
5,draw,draw,1250,1002,Sicilian Defense: Mongoose Variation,4,10+0
33,resign,white,1520,1423,Blackmar-Diemer Gambit: Pietrowsky Defense,10,10+0
9,resign,black,1413,2108,Nimzowitsch Defense: Kennedy Variation ,5,15+30
66,resign,black,1439,1392,Italian Game: Schilling-Kostic Gambit,6,15+0
119,mate,white,1381,1209,Scandinavian Defense: Mieses-Kotroc Variation,4,10+0
39,mate,white,1381,1272,Van't Kruijs Opening,1,20+60
38,resign,black,1381,1867,French Defense: Advance Variation ,9,20+60
60,resign,black,1381,1936,French Defense: Knight Variation,3,5+40
31,resign,black,1381,1607,French Defense #2,2,8+0
31,mate,white,1094,1141,Four Knights Game: Italian Variation,8,15+15
43,resign,black,1141,1094,Italian Game: Two Knights Defense ,7,15+15
52,resign,black,1094,1141,Four Knights Game: Italian Variation,8,15+15
66,mate,black,1141,1094,Four Knights Game: Italian Variation,8,15+16
101,resign,black,1094,1300,Philidor Defense #3,5,15+15
25,resign,white,1500,1094,Queen's Pawn Game,2,11+0
14,resign,black,1094,1676,Italian Game: Anti-Fried Liver Defense,6,15+15
3,resign,white,1094,1068,Horwitz Defense,2,30+60
17,resign,white,1500,1094,Sicilian Defense: Bowdler Attack,3,15+5
36,resign,white,1307,1106,English Opening: King's English Variation ,4,10+0
13,resign,black,1113,1423,Sicilian Defense: Smith-Morra Gambit #2,3,10+0
69,mate,white,1078,1219,Queen's Pawn Game: Chigorin Variation,4,10+10
43,resign,white,1825,1079,Scotch Game: Haxo Gambit,8,10+10
54,mate,black,1328,1038,Queen's Pawn Game: Chigorin Variation,4,10+10
53,resign,black,1056,1156,Slav Defense,4,10+10
66,mate,black,1077,1148,Queen's Gambit Refused: Marshall Defense,4,10+10
64,resign,black,1358,1036,Sicilian Defense: Smith-Morra Gambit #2,3,10+10
64,mate,black,1200,1002,Sicilian Defense: Canal Attack ,6,10+10
54,resign,white,1203,1019,Sicilian Defense,3,10+10
21,resign,black,1019,1500,Queen's Gambit Accepted: Central Variation ,6,15+3
11,resign,white,1422,975,Sicilian Defense: Bowdler Attack,3,18+0
19,resign,black,976,1832,Robatsch (Modern) Defense,4,10+0
28,resign,white,1569,978,Blackmar-Diemer Gambit: Tartakower Variation,10,10+0
22,resign,black,978,1500,Indian Game,2,15+0
37,resign,white,1500,978,Sicilian Defense: Dragon Variation ,17,15+0
34,resign,white,2449,978,English Opening: King's English Variation ,3,30+30
32,draw,draw,1207,978,Sicilian Defense: Dragon Variation,10,20+25
71,resign,black,1241,978,Sicilian Defense: Closed Variation,3,5+5
30,resign,white,1500,978,Sicilian Defense: Smith-Morra Gambit #2,3,30+0
66,resign,white,2443,978,Sicilian Defense: Dragon Variation ,17,40+40
41,resign,white,1500,978,Sicilian Defense: Smith-Morra Gambit #2,3,20+0
49,resign,white,1500,978,Sicilian Defense: Bowdler Attack,3,15+0
3,resign,black,978,1500,Scandinavian Defense,2,15+0
7,resign,white,1343,978,Sicilian Defense: Bowdler Attack,3,10+0
35,mate,white,2436,978,Sicilian Defense: Dragon Variation ,17,40+40
41,mate,white,2436,978,Scandinavian Defense: Mieses-Kotroc Variation,4,40+40
5,resign,black,978,1500,French Defense: Normal Variation,3,10+0
7,resign,white,1500,978,King's Pawn Game: Beyer Gambit,4,10+0
53,mate,white,978,1500,Dutch Defense,2,10+0
36,resign,black,1500,978,English Opening: King's English Variation,2,10+0
8,resign,white,1521,1162,Zukertort Opening: Ross Gambit,2,16+0
3,resign,white,1407,1500,Sicilian Defense: Closed Variation,3,6+10
28,resign,white,1492,1458,Vienna Game: Mengarini Variation,5,10+0
30,resign,black,1414,1442,Philidor Defense: Larsen Variation,8,10+0
44,resign,black,1457,1294,Scotch Game,5,10+0
29,resign,white,1525,1466,Philidor Defense: Lopez Countergambit,6,10+0
37,resign,black,1207,1579,French Defense: Knight Variation,3,8+10
49,resign,white,1567,1573,Modern Defense,2,8+12
32,resign,black,1578,1605,Horwitz Defense,2,8+12
25,resign,white,1939,1581,Blumenfeld Countergambit #2,6,8+12
40,mate,black,1618,1568,French Defense #2,2,5+10
39,resign,white,1755,1574,Zukertort Opening: Kingside Fianchetto,2,7+12
57,resign,white,1561,1596,Indian Game,2,15+10
78,resign,black,1500,1554,French Defense: Queen's Knight,3,5+40
61,resign,white,1544,1461,Queen's Pawn Game: Mason Attack,3,15+5
44,resign,black,1563,1335,Queen's Pawn Game: Mason Attack,3,20+5
62,mate,black,1579,1470,Queen's Pawn,2,20+5
87,mate,white,1617,1590,Indian Game,2,20+5
54,mate,black,1207,1588,French Defense: Advance ,7,20+5
54,resign,black,1595,1547,Queen's Pawn Game: Mason Attack,3,15+5
37,resign,white,1855,1599,French Defense: Exchange Variation,5,15+5
50,resign,white,1589,1547,Horwitz Defense,2,15+5
